ISIN,EMISOR,SECTOR,PAÍS,BID,ASK,YTM BID,YTM ASK,CPN,DUR,VENC.,RTG,YTC,PRÓX. CALL
US64110LAN64,NETFLIX INC,Internet,US,100.03,100.09,4.15,4.06,4.375,0.33,15/11/26,A,,
US00287YBV02,ABBVIE INC,Pharmaceuticals,US,99.54,99.58,4.21,4.14,2.950,0.34,21/11/26,A-,5.23,21/09/26
US594918BY93,MICROSOFT CORP,Software,US,99.49,99.56,4.16,4.10,3.300,0.54,06/02/27,AAA,4.76,06/11/26
US747525AU71,QUALCOMM INC,Semiconductors,US,99.16,99.21,4.23,4.20,3.250,0.82,20/05/27,A,4.60,20/02/27
US172967KA87,CITIGROUP INC,Banks,US,99.79,99.85,4.60,4.57,4.450,1.15,29/09/27,BBB+,,
US037833DK32,APPLE INC,Computers,US,98.39,98.45,4.23,4.21,3.000,1.28,13/11/27,AA+,4.49,13/08/27
US46625HRY89,JPMORGAN CHASE & CO,Banks,US,99.55,99.58,5.10,5.10,3.782,0.52,01/02/28,A+,4.58,01/02/27
US458140CE86,INTEL CORP,Semiconductors,US,100.34,100.39,4.63,4.61,4.875,1.39,10/02/28,BBB,4.60,10/01/28
